method,accuracy,scaler,params
LogisticRegression,0.819304152637486,standard,"{'logreg__C': 1, 'logreg__max_iter': 1000, 'logreg__penalty': 'l1', 'logreg__random_state': 12, 'logreg__solver': 'liblinear', 'poly__degree': 2}"
LogisticRegression,0.8193041526374859,minmax,"{'logreg__C': 3, 'logreg__max_iter': 1000, 'logreg__penalty': 'l1', 'logreg__random_state': 12, 'logreg__solver': 'liblinear', 'poly__degree': 3}"
SVC,0.8260381593714928,standard,"{'poly__degree': 1, 'svc__C': 3, 'svc__gamma': 'scale', 'svc__kernel': 'rbf', 'svc__random_state': 12}"
SVC,0.8215488215488215,minmax,"{'poly__degree': 2, 'svc__C': 6, 'svc__gamma': 'scale', 'svc__kernel': 'linear', 'svc__random_state': 12}"
KNeighborsClassifier,0.819304152637486,standard,"{'knn__algorithm': 'kd_tree', 'knn__n_neighbors': 3, 'knn__p': 2, 'knn__weights': 'uniform', 'poly__degree': 3}"
KNeighborsClassifier,0.8181818181818182,minmax,"{'knn__algorithm': 'auto', 'knn__n_neighbors': 3, 'knn__p': 2, 'knn__weights': 'uniform', 'poly__degree': 1}"
MultinomialNB,0.8002244668911337,minmax,"{'nb__alpha': 0.5, 'nb__fit_prior': False, 'poly__degree': 4}"
DecisionTreeClassifier,0.8316498316498318,standard,"{'dt__criterion': 'entropy', 'dt__max_depth': 10, 'dt__max_features': 'log2', 'dt__min_samples_leaf': 1, 'dt__min_samples_split': 6, 'dt__random_state': 12, 'dt__splitter': 'random', 'poly__degree': 4}"
DecisionTreeClassifier,0.8361391694725028,minmax,"{'dt__criterion': 'gini', 'dt__max_depth': 10, 'dt__max_features': 'sqrt', 'dt__min_samples_leaf': 2, 'dt__min_samples_split': 6, 'dt__random_state': 12, 'dt__splitter': 'random', 'poly__degree': 3}"
RandomForestClassifier,0.8395061728395062,standard,"{'poly__degree': 3, 'rf__criterion': 'gini', 'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 4, 'rf__n_estimators': 50, 'rf__random_state': 12}"
RandomForestClassifier,0.840628507295174,minmax,"{'poly__degree': 2, 'rf__criterion': 'entropy', 'rf__max_depth': None, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 6, 'rf__n_estimators': 150, 'rf__random_state': 12}"
AdaBoostClassifier,0.8282828282828283,standard,"{'ab__learning_rate': 0.5, 'ab__n_estimators': 150, 'ab__random_state': 12, 'poly__degree': 2}"
AdaBoostClassifier,0.8204264870931537,minmax,"{'ab__learning_rate': 0.5, 'ab__n_estimators': 50, 'ab__random_state': 12, 'poly__degree': 3}"
GradientBoostingClassifier,0.8350168350168351,standard,"{'gb__learning_rate': 0.1, 'gb__max_depth': 7, 'gb__max_features': 'log2', 'gb__min_samples_leaf': 2, 'gb__min_samples_split': 6, 'gb__n_estimators': 50, 'gb__random_state': 12, 'poly__degree': 2}"
GradientBoostingClassifier,0.8395061728395062,minmax,"{'gb__learning_rate': 0.1, 'gb__max_depth': 5, 'gb__max_features': 'sqrt', 'gb__min_samples_leaf': 2, 'gb__min_samples_split': 6, 'gb__n_estimators': 100, 'gb__random_state': 12, 'poly__degree': 3}"
